Fecha, Zona, CO2, SO2, NO2, PM2.5
2020-01-09, Sur,39.7,1.0,2.9,13.5
2020-01-09, Este,38.9,1.1,3.0,17.8
2020-01-09, Centro,42.4,1.2,3.8,19.4
2020-01-09, Oeste,26.1,0.4,2.0,8.8
2020-01-10, Norte,30.2,1.0,2.5,10.8
2020-01-10, Sur,41.4,1.2,3.0,16.8
2020-01-10, Este,42.5,1.0,3.4,15.8
2020-01-10, Centro,44.9,1.5,2.9,17.8
2020-01-10, Oeste,30.4,0.5,2.0,9.5
2020-01-11, Norte,33.1,0.8,2.6,10.8
2020-01-11, Sur,39.1,0.9,3.1,15.0
2020-01-11, Este,42.9,1.2,2.6,14.2
2020-01-11, Centro,45.4,1.3,3.4,18.1
2020-01-11, Oeste,29.5,0.6,1.6,8.3
2020-01-12, Norte,32.0,0.7,2.1,9.8
2020-01-12, Sur,40.5,1.1,3.2,16.8
2020-01-12, Este,42.0,1.3,3.3,18.1
2020-01-12, Centro,44.1,1.6,3.5,17.4
2020-01-12, Oeste,31.6,0.6,1.9,7.6
2020-01-13, Norte,33.5,1.0,2.5,10.6
2020-01-13, Sur,39.9,1.4,2.8,12.8
2020-01-13, Este,42.9,1.1,3.0,14.1
2020-01-13, Centro,45.0,1.1,3.1,18.8
2020-01-13, Oeste,31.3,0.5,1.9,7.0
2020-01-14, Norte,32.1,0.9,2.1,9.7
2020-01-14, Sur,35.7,1.3,3.0,15.7
2020-01-14, Este,42.9,1.0,3.1,13.9
2020-01-14, Centro,50.2,1.4,3.6,16.1
2020-01-14, Oeste,31.8,1.0,1.9,6.8
2020-01-15, Norte,32.9,0.4,2.2,11.3
2020-01-15, Sur,38.6,1.0,3.0,15.4
2020-01-15, Este,37.0,1.2,3.9,14.8
2020-01-15, Centro,43.7,1.8,3.6,17.2
2020-01-15, Oeste,30.2,0.6,1.7,8.2
2020-01-16, Norte,32.6,0.8,2.0,8.2
2020-01-16, Sur,38.6,1.4,2.9,14.0
2020-01-16, Este,41.8,1.2,3.7,16.8
2020-01-16, Centro,45.3,1.2,3.5,18.3
2020-01-16, Oeste,29.7,0.5,1.7,8.7
2020-01-17, Norte,34.5,0.8,2.3,10.0
2020-01-17, Sur,38.9,1.1,2.9,18.5
2020-01-17, Este,41.0,1.3,3.3,16.4
2020-01-17, Centro,46.5,1.3,3.6,17.4
2020-01-17, Oeste,27.9,0.7,1.6,9.1
2020-01-18, Norte,30.8,0.7,1.8,14.3
2020-01-18, Sur,35.4,1.1,3.2,16.0
2020-01-18, Este,42.0,1.1,3.6,18.1
2020-01-18, Centro,44.3,1.4,3.2,16.6
2020-01-18, Oeste,32.3,0.9,1.6,8.1
2020-01-19, Norte,32.9,0.8,2.3,11.5
2020-01-19, Sur,37.2,0.9,3.2,13.8
2020-01-19, Este,37.8,1.1,3.1,19.1
2020-01-19, Centro,45.7,1.6,3.5,19.4
2020-01-19, Oeste,28.5,0.6,1.6,8.0
2020-01-20, Norte,34.6,0.8,2.6,8.4
2020-01-20, Sur,39.7,0.9,2.9,15.6
2020-01-20, Este,39.9,1.3,2.9,14.3
2020-01-20, Centro,45.0,1.7,3.0,19.8
2020-01-20, Oeste,29.9,0.3,1.6,8.3
2020-01-21, Norte,32.4,0.5,1.7,8.8
2020-01-21, Sur,39.1,1.1,2.7,14.8
2020-01-21, Este,42.4,1.3,3.1,18.2
2020-01-21, Centro,42.0,1.4,3.2,16.1
2020-01-21, Oeste,29.0,0.2,2.5,6.9
2020-01-22, Norte,36.4,0.8,2.4,9.4
2020-01-22, Sur,39.1,1.2,3.1,15.6
2020-01-22, Este,39.6,1.1,2.7,17.6
2020-01-22, Centro,46.1,1.7,3.4,16.8
2020-01-22, Oeste,26.4,0.8,1.4,7.8
2020-01-23, Norte,32.8,0.8,2.2,10.3
2020-01-23, Sur,33.8,1.1,2.2,15.6
2020-01-23, Este,39.2,0.8,2.9,15.9
2020-01-23, Centro,46.3,1.4,3.4,19.7
2020-01-23, Oeste,29.6,0.8,2.1,6.4
2020-01-24, Norte,36.1,0.5,2.5,7.8
2020-01-24, Sur,39.9,1.5,2.8,14.1
2020-01-24, Este,41.6,1.1,3.7,17.1
2020-01-24, Centro,43.3,1.3,3.0,17.0
2020-01-24, Oeste,29.1,0.5,1.7,11.4
2020-01-25, Norte,31.1,0.8,2.4,11.0
2020-01-25, Sur,38.5,1.1,3.0,14.9
2020-01-25, Este,39.8,0.9,3.0,15.0
2020-01-25, Centro,42.6,1.4,3.4,20.6
2020-01-25, Oeste,28.8,0.8,2.0,10.2
2020-01-26, Norte,34.4,0.6,1.7,10.6
2020-01-26, Sur,37.6,0.9,2.5,14.7
2020-01-26, Este,43.3,1.1,3.3,16.6
2020-01-26, Centro,41.3,1.5,3.0,18.0
2020-01-26, Oeste,29.2,0.8,1.6,8.9
2020-01-27, Norte,31.5,0.7,1.1,13.2
2020-01-27, Sur,39.8,0.9,2.5,13.7
2020-01-27, Este,41.8,0.8,3.1,19.4
2020-01-27, Centro,41.6,1.4,4.0,18.9
2020-01-27, Oeste,30.1,0.7,1.8,10.2
2020-01-28, Norte,32.4,0.4,2.1,8.6
2020-01-28, Sur,38.1,1.0,3.2,15.5
2020-01-28, Este,40.9,1.2,2.8,13.5
2020-01-28, Centro,44.1,1.6,3.3,17.1
2020-01-28, Oeste,30.8,0.6,2.4,10.1
2020-01-29, Norte,35.1,1.0,1.8,11.1
2020-01-29, Sur,39.4,1.2,3.0,15.1
2020-01-29, Este,45.7,1.2,3.4,16.1
2020-01-29, Centro,45.5,1.6,3.4,20.4
2020-01-29, Oeste,28.1,0.5,2.0,9.6
2020-01-30, Norte,33.6,1.1,2.0,8.4
2020-01-30, Sur,39.3,1.1,3.0,14.4
2020-01-30, Este,39.7,1.2,3.2,16.3
2020-01-30, Centro,43.5,1.3,3.6,18.2
2020-01-30, Oeste,34.3,0.6,1.7,12.3
2020-01-31, Norte,34.0,1.0,2.4,11.0
2020-01-31, Sur,39.7,0.9,3.0,12.5
2020-01-31, Este,40.0,1.1,3.3,17.3
2020-01-31, Centro,44.9,1.5,3.1,17.5
2020-01-31, Oeste,31.7,0.8,1.6,6.0
2024-01-01, Norte, 33.5, 0.9, 2.3, 10.2
2024-01-02, Norte, 35.0, 1.0, 2.5, 10.8
2024-01-03, Norte, 34.2, 1.1, 2.4, 10.1
2024-01-04, Sur, 41.0, 1.3, 3.2, 15.5
2024-01-05, Sur, 39.5, 1.2, 3.0, 14.8
2024-01-06, Sur, 40.0, 1.1, 2.9, 15.0
2024-01-07, Este, 42.5, 1.5, 3.4, 17.5
2024-01-08, Este, 41.2, 1.4, 3.1, 17.2
2024-01-09, Este, 43.0, 1.6, 3.5, 17.8
2024-01-10, Centro, 46.0, 1.6, 3.6, 18.5
2024-01-11, Centro, 44.0, 1.5, 3.3, 18.0
2024-01-12, Centro, 45.5, 1.7, 3.7, 18.7
2024-01-13, Oeste, 30.5, 0.7, 2.0, 8.9
2024-01-14, Oeste, 31.0, 0.8, 2.1, 9.1
2024-01-15, Oeste, 30.8, 0.6, 1.9, 8.7
2024-01-16, Norte, 33.9, 1.0, 2.4, 10.5
2024-01-17, Norte, 34.1, 1.1, 2.4, 10.6
2024-01-18, Norte, 34.3, 1.1, 2.5, 10.8
2024-01-19, Norte, 34.5, 1.1, 2.5, 10.9
2024-01-20, Sur, 39.8, 1.2, 3.1, 15.1
2024-01-21, Sur, 40.0, 1.2, 3.1, 15.2
2024-01-22, Sur, 40.2, 1.3, 3.2, 15.3
2024-01-23, Sur, 40.5, 1.3, 3.3, 15.4
2024-01-24, Este, 42.7, 1.5, 3.4, 17.4
2024-01-25, Este, 42.9, 1.5, 3.4, 17.5
2024-01-26, Este, 43.2, 1.6, 3.5, 17.6
2024-01-27, Este, 43.5, 1.6, 3.6, 17.8
2024-01-28, Centro, 45.1, 1.6, 3.5, 18.4
2024-01-29, Centro, 45.3, 1.6, 3.6, 18.5
2024-01-30, Centro, 45.6, 1.7, 3.7, 18.6
2024-01-31, Centro, 45.9, 1.7, 3.7, 18.7
2024-01-04, Oeste, 30.6, 0.7, 2.0, 8.9
2024-01-05, Oeste, 30.8, 0.7, 2.1, 9.0
2024-01-06, Oeste, 31.0, 0.8, 2.1, 9.1
2024-01-07, Oeste, 31.2, 0.8, 2.2, 9.2
2024-02-01, Norte, 34.8, 1.2, 2.6, 11.1
2024-02-02, Norte, 35.0, 1.2, 2.7, 11.3
2024-02-01, Sur, 40.7, 1.4, 3.4, 15.6
2024-02-02, Sur, 41.0, 1.4, 3.5, 15.8
2024-02-01, Este, 43.8, 1.7, 3.7, 18.0
2024-02-02, Este, 44.0, 1.7, 3.8, 18.2
2024-02-01, Centro, 46.2, 1.8, 3.8, 19.0
2024-02-02, Centro, 46.5, 1.8, 3.9, 19.2
2024-02-01, Oeste, 31.5, 0.9, 2.3, 9.3
2024-02-02, Oeste, 31.8, 0.9, 2.4, 9.4

